  1 G000.1169-00.5703 17 48 07.70 -29 07 55.5  38  44 <  0.074 <  0.150 <  0.086    0.255    8.730   28.300 < 22.000   126.5  92 -99
128 G027.2833-00.1444 18 41 37.48 -05 05 29.7   8  10 <  0.127 <  0.088 <  0.073    0.220    8.073    4.300 <  1.300   -99.9 176 -99
129 G027.3338+00.1784 18 40 33.91 -04 53 56.1  13  12 <  0.061 <  0.061 <  0.144 <  0.104   19.731   13.800 <  4.900    63.3 153 -99
130 G027.6352+00.0345 18 41 37.94 -04 41 48.6   4   5 <  0.009 <  0.005 <  0.015 <  0.047    0.705 <  0.400 <  0.330   -99.9 -99 -99
131 G027.9931-00.4249 18 43 55.73 -04 35 18.9   5   6 <  0.009 <  0.008 <  0.004 <  0.021    0.178 <  0.210 <  0.850   -99.9 -99 -99
132 G028.0372-00.1213 18 42 55.57 -04 24 38.1   6   8 <  0.019 <  0.008 <  0.009 <  0.003    0.740 <  0.950 <  3.010   -99.9 -99 -99
133 G028.1433+00.1542 18 42 08.28 -04 11 24.9  13   8 <  0.056 <  0.042 <  0.041    0.041    9.605    7.600 <  1.900   -99.9 145 -99
134 G028.5061+00.2057 18 42 04.17 -04 06 39.1   4   5 <  0.002 <  0.002 <  0.001 <  0.003    0.171 <  0.570 <  2.990   -99.9 -99 -99
135 G028.4787-00.0056 18 43 19.37 -03 57 54.1   9  10 <  0.015 <  0.005 <  0.023 <  0.039    1.469 <  1.100 <  3.500   -99.9 -99 -99
136 G028.5028-00.0343 18 43 28.16 -03 57 24.2   5   6 <  0.007 <  0.007 <  0.031 <  0.061    0.903    0.960 <  0.980    14.1 129 -99
137 G028.6301+00.2363 18 42 44.27 -03 43 11.3   8   7 <  0.020 <  0.014 <  0.009 <  0.004    2.491    2.300 <  0.960    14.1 136 -99
138 G028.7070+00.1066 18 43 20.47 -03 42 38.5   7   7 <  0.001 <  0.005 <  0.010 <  0.001    1.273    1.190 <  1.600    14.1 136 -99
139 G028.7214-00.3922 18 45 08.78 -03 55 32.7   4   5 <  0.008 <  0.006 <  0.003 <  0.001    1.152 <  0.630 <  2.950   -99.9 -99 -99
140 G028.7574-00.2740 18 44 47.44 -03 50 23.1   5   6 <  0.001 <  0.002 <  0.007 <  0.018    0.430 <  0.580 <  2.470   -99.9 -99 -99
141 G028.8045+00.2375 18 43 03.19 -03 33 50.9  15  16 <  0.032 <  0.064 <  0.251 <  0.617   87.283 < 35.000 <  5.000   -99.9 -99 -99
142 G028.8142+00.1922 18 43 13.95 -03 34 34.4   5   6    0.118    0.110    0.731    0.270    9.700 < 10.700 <  4.500   -99.9 -99 -99
143 G028.8200+00.2522 18 43 01.75 -03 32 37.1   5   5 <  0.017 <  0.018 <  0.023    0.044    7.010    1.910 <  2.440    17.6 287 -99
144 G029.1883+00.5550 18 42 37.48 -03 04 39.5   8   8 <  0.020 <  0.013 <  0.002 <  0.029    0.757    0.890 <  0.920    10.6 124 -99
145 G029.7810-00.2176 18 46 27.72 -02 54 11.9   8  10 <  0.007 <  0.009 <  0.002 <  0.018    2.202    4.030 <  1.520    35.2 108 -99
146 G030.0488+00.1790 18 45 32.31 -02 29 02.4  16  13 <  0.021 <  0.022 <  0.102 <  0.204    2.926    4.060 <  4.400    17.6 118 -99
147 G030.0539-00.3391 18 47 23.62 -02 42 57.3   9   9 <  0.027 <  0.043 <  0.142    0.281   12.841   21.600    9.600   105.4 111  87
148 G030.3745+00.0252 18 46 40.89 -02 15 51.9  11  10 <  0.047 <  0.037 <  0.099 <  0.135    7.123 < 20.120 < 13.800   -99.9 -99 -99
149 G030.4620+00.3924 18 45 32.01 -02 01 08.2  26  20    0.057    0.050    0.012 <  0.047    8.068    4.990 <  2.920    42.2 163 -99
150 G030.6077-00.6233 18 49 25.06 -02 21 09.7  16  17 <  0.070 <  0.065 <  0.030 <  0.060   17.371 <  2.500 <  0.900   -99.9 -99 -99
151 G030.8694-00.1031 18 48 02.54 -01 52 57.2  12   9 <  0.159 <  0.194 <  1.324 <  2.869   27.706 < 43.000 < 21.000   -99.9 -99 -99
152 G030.9508-00.0459 18 47 59.23 -01 47 02.5   7   6 <  0.029 <  0.026 <  0.021 <  0.095    6.422    1.000 < 10.000    42.2 762 -99
153 G031.0836-00.2126 18 48 49.39 -01 44 30.8  10   8 <  0.014 <  0.011 <  0.022 <  0.053    0.426 <  0.250 <  2.100   -99.9 -99 -99
155 G031.4566+00.3937 18 47 20.71 -01 08 00.2   9  11 <  0.003 <  0.006 <  0.004 <  0.039    1.832    1.300 <  1.750     7.0 152 -99
156 G031.4842+00.4546 18 47 10.72 +01 04 51.7   8   8 <  0.002 <  0.003 <  0.015 <  0.059    0.597 <  0.800 <  1.050   -99.9 -99 -99
157 G031.5390-00.1113 18 49 17.61 -01 17 25.5   6   9 <  0.008 <  0.009 <  0.101 <  0.264    2.740 <  5.200 <  8.100   -99.9 -99 -99
158 G031.6662-00.1285 18 49 35.21 -01 11 06.2   9  11 <  0.011 <  0.002 <  0.017 <  0.041    0.991 <  0.410 <  4.200   -99.9 -99 -99
159 G031.6770+00.1775 18 48 31.03 -01 02 09.2   9  11    0.063    0.085    0.047    0.244   21.351   16.200 <  5.100    70.3 148 -99
160 G031.8412+00.1875 18 48 46.87 -00 53 06.7  10  14 <  0.022 <  0.015 <  0.007 <  0.003    0.547    0.380 <  0.600     3.5 154 -99
161 G031.8695-00.3187 18 50 38.10 -01 05 27.1   4   7 <  0.007 <  0.006 <  0.001 <  0.005    0.527 <  1.060 <  1.440   -99.9 -99 -99
162 G031.9082-00.3435 18 50 47.63 -01 04 03.8   6   7 <  0.003 <  0.003 <  0.002 <  0.001    0.759 <  0.330 <  0.210   -99.9 -99 -99
163 G031.9308+00.2676 18 48 39.54 -00 46 08.1  23  25 <  0.234 <  0.159 <  0.140 <  0.079    2.337    4.170 <  1.100    10.6 109 -99
164 G031.9747+00.3348 18 48 30.02 -00 41 57.0   6   7 <  0.005 <  0.006 <  0.006 <  0.008    0.276    0.150 <  0.320     3.5 174 -99
165 G032.0177-00.4999 18 51 33.03 -01 02 29.7  10   9 <  0.090 <  0.060 <  0.053 <  0.030    0.365    0.580 <  2.210   -99.9 113 -99
166 G032.1157+00.0576 18 49 44.67 -00 42 00.5  12  15 <  0.022 <  0.014 <  0.029 <  0.104   11.951    2.600 <  1.290    24.6 376 -99
167 G032.4839-00.0141 18 50 40.28 -00 24 18.5   9  10 <  0.031 <  0.025 <  0.010 <  0.025    0.971 <  0.860 <  3.200   -99.9 -99 -99
168 G032.6755+00.2023 18 50 15.02 -00 08 09.4   7  11 <  0.021 <  0.017 <  0.010 <  0.005    0.538    0.820 <  0.300    10.6 114 -99
169 G032.7634-00.1990 18 51 50.36 -00 14 26.6   5   5 <  0.006 <  0.004 <  0.001 <  0.017    0.468    0.480 <  0.800    14.1 131 -99
170 G032.8748-00.4286 18 52 51.59 -00 14 46.5   5   7 <  0.013 <  0.008 <  0.039    0.100    1.602    2.800 <  5.300    49.2 109 -99
171 G032.9587-00.1244 18 51 55.80 -00 01 58.4   6   8 <  0.004 <  0.003 <  0.021 <  0.004    1.391    0.230 <  0.340     7.0 638 -99
172 G032.9702-00.2758 18 52 29.39 -00 05 30.1   5   5 <  0.005 <  0.003 <  0.004 <  0.001    0.250 <  0.290 <  0.110   -99.9 -99 -99
173 G032.9844-00.5468 18 53 28.83 -00 12 09.4   7   6 <  0.012 <  0.012 <  0.008    0.041    2.810    2.370 <  0.550    28.1 141 -99
