T	24/70	160/350
184.0	17.595413574285782	21.77492885031973
185.0	17.79046709798389	21.792823439308904
186.0	17.98548036954091	21.81053008502295
187.0	18.18043969577327	21.828051717080232
188.0	18.375331678252447	21.845391204861514
189.0	18.57014320955954	21.862551359041284
190.0	18.7648614695093	21.879534933072996
191.0	18.959473921348156	21.89634462462967
192.0	19.15396830793112	21.912983077001424
193.0	19.348332647881534	21.929452880451496
194.0	19.542555231738078	21.945756573532098
195.0	19.73662461809264	21.961896644361495
196.0	19.930529629722983	21.977875531863656
197.0	20.124259349723474	21.993695626971725
198.0	20.317803117637247	22.009359273796516
199.0	20.51115052559294	22.024868770761206
200.0	20.704291414448786	22.040226371703405
201.0	20.897215869947	22.055434286945626
202.0	21.089914218880867	22.070494684335195
203.0	21.282377025277082	22.085409690254714
204.0	21.474595086595556	22.10018139060384
205.0	21.666559429948958	22.11481183175359
206.0	21.858261308343664	22.1293030214738
207.0	22.04969219694452	22.143656929834744
208.0	22.24084378936456	22.157875490083775
209.0	22.43170799398181	22.17196059949769
210.0	22.62227693028429	22.18591412021162
211.0	22.812542925245033	22.199737880025282
212.0	23.002498509727843	22.21343367318718
213.0	23.19213641492571	22.227003261157563
214.0	23.381449568832192	22.240448373350677
215.0	23.570431092747537	22.2537707078571
216.0	23.759074297819737	22.26697193214673
217.0	23.947372681622067	22.280053683752907
218.0	24.135319924767224	22.2930175709385
219.0	24.322909887559206	22.30586517334421
220.0	24.510136606683314	22.318598042619936
221.0	24.696994291934864	22.331217703039506
222.0	24.883477322987208	22.34372565209929
223.0	25.069580246199283	22.35612336110137
224.0	25.255297771463262	22.368412275721482
225.0	25.440624769092313	22.38059381656238
226.0	25.62555626674925	22.392669379692908
227.0	25.810087446415658	22.40464033717338
228.0	25.99421364140202	22.416508037567496
229.0	26.17793033339908	22.42827380644125
230.0	26.361233149570005	22.439938946849292
231.0	26.544117859683986	22.45150473980903
232.0	26.72658037329091	22.46297244476281
233.0	26.9086167369371	22.474343300028586
234.0	27.090223131422167	22.485618523239392
235.0	27.27139586909684	22.496799311771905
236.0	27.452131391201583	22.507886843164435
237.0	27.632426265245957	22.518882275524664
238.0	27.812277182428407	22.529786747927414
239.0	27.99168095509639	22.54060138080268
240.0	28.170634514246522	22.55132727631428
241.0	28.34913490706473	22.5619655187293
242.0	28.5271792945057	22.572517174778717
243.0	28.70476494891182	22.58298329400928
244.0	28.88188925167097	22.593364909127043
245.0	29.058549690913072	22.603663036332694
246.0	29.234743859244958	22.613878675648913
247.0	29.410469451523184	22.624012811240046
248.0	29.585724262664513	22.634066411724177
249.0	29.760506185493714	22.644040430477993
250.0	29.934813208628224	22.653935805934385
251.0	30.10864341439935	22.663753461873263
252.0	30.281994976809624	22.673494307705532
253.0	30.454866159525743	22.683159238750566
254.0	30.627255313907117	22.692749136507253
255.0	30.799160877069095	22.70226486891886
256.0	30.970581369980668	22.71170729063185
257.0	31.1415153955965	22.721077243248786
258.0	31.31196163702237	22.730375555575495
259.0	31.4819188557139	22.739603043862704
260.0	31.6513858897081	22.748760512042185
261.0	31.820361651887318	22.75784875195762
262.0	31.988845128275038	22.766868543590306
263.0	32.156835376363134	22.77582065527987
264.0	32.32433152347034	22.78470584394001
265.0	32.49133276513115	22.793524855269585
266.0	32.65783836351501	22.80227842395893
267.0	32.82384764587523	22.810967273891723
268.0	32.989360003027194	22.81959211834247
269.0	33.1543748878554	22.828153660169562
270.0	33.31889181384904	22.836652592004256
271.0	33.48291035366553	22.845089596435542
272.0	33.64643013772153	22.853465346190987
273.0	33.80945085281137	22.861780504313774
274.0	33.971972240751874	22.87003572433582
275.0	34.13399409705377	22.878231650447347
276.0	34.29551626961881	22.886368917662754
277.0	34.45653865746244	22.89444815198303
278.0	34.61706120946154	22.902469970554662
279.0	34.77708392312674	22.910434981825325
280.0	34.936606843399005	22.918343785696184
281.0	35.09563006147015	22.926196973671065
282.0	35.25415371362668	22.933995129002565
283.0	35.412177980116695	22.941738826835014
284.0	35.56970308403952	22.94942863434465
285.0	35.72672929025753	22.95706511087671
286.0	35.883256904329976	22.964648808079872
287.0	36.039286271468114	22.972180270037835
288.0	36.19481777551176	22.979660033398293
289.0	36.349851837926295	22.987088627499208
290.0	36.50438891682038	22.99446657449258
291.0	36.65842950598349	23.001794389465726
292.0	36.811974133943245	23.00907258056005
293.0	36.965023363042064	23.01630164908751
294.0	37.11757778853276	23.023482089644677
295.0	37.2696380376929	23.03061439022461
296.0	37.421204768957345	23.03769903232641
297.0	37.57227867106884	23.04473649106267
298.0	37.72286046224627	23.051727235264824
299.0	37.87295088937021	23.058671727586304
