Wav, micron	sigma, cm^2/H	kappa, cm^2/g	albedo	g
20690645.58217283	1.1830738300000002e-35	5.440900698576975e-12	1.5688333296612602e-16	2.190592930249703e-05
20621796.92278471	1.19105101e-35	5.47758737284368e-12	1.579240535590495e-16	2.186212665188602e-05
20553182.59947729	1.1990819800000002e-35	5.514521424781294e-12	1.5897166197560572e-16	2.1862127675292835e-05
20484793.29787877	1.20716706e-35	5.551704326054708e-12	1.6002623383278863e-16	2.1862126921701385e-05
20416629.075742338	1.2153068200000003e-35	5.589138698067019e-12	1.6108778228192613e-16	2.1862126232298657e-05
20348694.51522359	1.22350122e-35	5.626824356860113e-12	1.621563917986122e-16	2.1850987884460635e-05
20280985.042106394	1.2317510800000001e-35	5.664765073575284e-12	1.6323208607529693e-16	2.1807183804932174e-05
20213505.148127098	1.2400564100000004e-35	5.70296089420206e-12	1.6431491438111264e-16	2.180718376064262e-05
20146245.839866504	1.24841783e-35	5.741414670091173e-12	1.654049187467949e-16	2.1807182820346775e-05
20079211.60913085	1.25683571e-35	5.78012810285516e-12	1.6650215175864154e-16	2.180718366309593e-05
20012398.031675328	1.2653102400000003e-35	5.819102066295051e-12	1.6760667093510596e-16	2.180718250156846e-05
19945809.51008324	1.27384186e-35	5.858338583950076e-12	1.6871853359560659e-16	2.1763378971585854e-05
19879441.64926126	1.28243119e-35	5.897840507170969e-12	1.6983773996638368e-16	2.1763379246270904e-05
19813294.459881335	1.2910782900000003e-35	5.937608111894899e-12	1.7096439829423506e-16	2.1763378758899215e-05
19747363.66199269	1.2997837300000003e-35	5.977644019524958e-12	1.720985139076175e-16	2.1763378786981878e-05
19681657.817114234	1.30854789e-35	6.017949977663208e-12	1.732401514918189e-16	2.1763378628442196e-05
19616168.368670397	1.3173710600000003e-35	6.058527320005963e-12	1.743893688444165e-16	2.1708433950368606e-05
19550895.353832617	1.3262538000000004e-35	6.099378621966786e-12	1.7554621245194543e-16	2.170843576611101e-05
19485842.958207354	1.3351965200000004e-35	6.140505769116325e-12	1.7671071376968537e-16	2.170843409888498e-05
19421006.970693447	1.3441994000000002e-35	6.1819095892660815e-12	1.778829704441171e-16	2.1708436417621625e-05
19356383.27676402	1.3532631300000003e-35	6.223593255693488e-12	1.7906297421795564e-16	2.1705603709149596e-05
19291976.018719986	1.36238778e-35	6.265557090325236e-12	1.8025085256225655e-16	2.1661803774100366e-05
19227785.161547128	1.3715742099999998e-35	6.307805048260733e-12	1.814464981287451e-16	2.166179578425478e-05
19163806.62962645	1.3808223800000003e-35	6.35033694554187e-12	1.826501874729174e-16	2.1661799698543288e-05
19100040.44098475	1.3901329200000003e-35	6.393155679508903e-12	1.8386183773858113e-16	2.1661799605307624e-05
19036486.599315356	1.3995063700000003e-35	6.4362637335963445e-12	1.850815086065667e-16	2.1617997340677936e-05
18973141.147063687	1.4089430600000002e-35	6.479662625458616e-12	1.8630921353968693e-16	2.1617992328067458e-05
18910011.980487857	1.4184431500000003e-35	6.523353090928167e-12	1.875451362532929e-16	2.160685285877586e-05
18847087.298385765	1.4280074500000002e-35	6.567338855156761e-12	1.8878923491379545e-16	2.1606852213927688e-05
18784378.811715025	1.4376361900000005e-35	6.611620975903543e-12	1.9004159970548592e-16	2.1606851985439277e-05
18721874.84796175	1.4473298500000003e-35	6.656201660665851e-12	1.9130229291028575e-16	2.156305105695276e-05
18659579.30014302	1.4570890000000003e-35	6.701083530846783e-12	1.9257129190680865e-16	2.156304932615715e-05
18597488.360256188	1.46691388e-35	6.7462676901950065e-12	1.9384876017765947e-16	2.1563050912764086e-05
18535609.609168947	1.4768048300000004e-35	6.791755702354477e-12	1.9513469031666148e-16	2.1563050454122746e-05
18473931.702360656	1.4867628100000003e-35	6.837551982319874e-12	1.9642915367314034e-16	2.1563053911292836e-05
18412462.16814414	1.49678763e-35	6.883655656290169e-12	1.9773221592030395e-16	2.151925233281696e-05
18351193.5519701	1.5068802400000003e-35	6.9300710932705186e-12	1.9904387504769455e-16	2.1519249853633258e-05
18290133.25525265	1.5170407700000002e-35	6.976798891124784e-12	2.0036428385421701e-16	2.1508111610332726e-05
18229273.895240042	1.5272700200000005e-35	7.0238427290152054e-12	2.0169338077054633e-16	2.150738721710872e-05
18168619.129165336	1.5375679899999999e-35	7.071202606941777e-12	2.0303132989293052e-16	2.1507385672819093e-05
18108161.717797406	1.54793559e-35	7.1188827099515515e-12	2.043782008344417e-16	2.1463587292951007e-05
18047908.886556823	1.5583729100000003e-35	7.166883451950276e-12	2.0573394478385788e-16	2.1463582772171738e-05
17987857.01310451	1.56888086e-35	7.215209017984993e-12	2.0709867331187912e-16	2.1463580511262203e-05
17928002.557099313	1.5794593900000003e-35	7.2638591781080666e-12	2.0847253997388303e-16	2.1463587354315305e-05
17868349.060549997	1.59010942e-35	7.312838163356067e-12	2.0985547051881496e-16	2.1460746248779697e-05
17808893.003506906	1.60083136e-35	7.362147859299641e-12	2.1124754525973302e-16	2.1416952423142773e-05
17749634.400348455	1.6116254700000005e-35	7.411789461666519e-12	2.1264885223897579e-16	2.1416946661100353e-05
17690576.683703545	1.6224923200000002e-35	7.461765591859787e-12	2.1405951567795402e-16	2.1416950532968728e-05
17631712.955713082	1.6334323200000002e-35	7.5120781354501e-12	2.1547952045120545e-16	2.140581271217428e-05
17573043.25993826	1.6444463800000003e-35	7.562731277484498e-12	2.1690893840716164e-16	2.14058107355855e-05
17514570.989993844	1.65553461e-35	7.613725523847787e-12	2.1834781344909486e-16	2.1362001618826163e-05
17456292.75427952	1.6666976500000004e-35	7.665063817869764e-12	2.1979621956231826e-16	2.1362002700694323e-05
17398208.55682814	1.6779356900000004e-35	7.716747033351452e-12	2.2125430086423628e-16	2.1361998514800568e-05
17340315.09177818	1.6892498000000003e-35	7.768780091172344e-12	2.2272199857398234e-16	2.136200651111398e-05
17282618.953499522	1.7006400900000006e-35	7.821163497217254e-12	2.241994751553222e-16	2.1362001635206466e-05
17225110.28225761	1.7121072400000007e-35	7.873900378774077e-12	2.2568672334999287e-16	2.131819736696155e-05
17167795.62492282	1.7236517500000003e-35	7.926993035319211e-12	2.271838291229072e-16	2.131819852340897e-05
17110671.712063417	1.7352740600000005e-35	7.980443490391892e-12	2.2869086586322847e-16	2.1318201370345147e-05
17053735.34771856	1.7469747100000005e-35	8.034254227426626e-12	2.302078969245066e-16	2.131820479231583e-05
16996992.911396652	1.7587542700000005e-35	8.088427867826506e-12	2.3173499814246356e-16	2.1307056391376826e-05
16940434.867650066	1.7706133800000006e-35	8.142967354921325e-12	2.332722539468214e-16	2.1263258755920146e-05
16884067.549599726	1.7825523000000005e-35	8.197873884438806e-12	2.348196511967699e-16	2.126325430230976e-05
16827887.795629732	1.7945716900000003e-35	8.253150491687795e-12	2.363773758588602e-16	2.126325595786988e-05
16771892.51497287	1.8066722100000006e-35	8.308800211977141e-12	2.379454242774343e-16	2.1263255362330565e-05
16716087.878233565	1.8188542000000002e-35	8.364824608950791e-12	2.3952389458324916e-16	2.1263256980011804e-05
16660464.662551606	1.8311185600000002e-35	8.421227821666264e-12	2.4111272831580054e-16	2.1219450936939324e-05
16605028.993254574	1.84346553e-35	8.47801095387223e-12	2.4271221068885405e-16	2.121945142674513e-05
16549777.811974201	1.8558956700000003e-35	8.535176580982256e-12	2.443222558219019e-16	2.121662071930297e-05
16494708.128671745	1.8684095400000004e-35	8.592727278409906e-12	2.4594299948141986e-16	2.1216622184007245e-05
16439822.947433129	1.8810081300000002e-35	8.65066759911845e-12	2.4757444174156757e-16	2.121661683268098e-05
16385122.237144105	1.8936915000000004e-35	8.708997819045055e-12	2.4921677848239794e-16	2.1161678451751545e-05
16330600.106578656	1.9064603400000004e-35	8.76772111146715e-12	2.5086992952452394e-16	2.116167659520437e-05
16276262.427604543	1.9193153200000006e-35	8.826840557683109e-12	2.5253410038315116e-16	2.116167555737509e-05
16222103.362902503	1.9322570200000003e-35	8.886358825085552e-12	2.5420933575767256e-16	2.116167765939878e-05
16168125.816383984	1.9452857900000003e-35	8.94627752330796e-12	2.558957079753304e-16	2.1161676009796555e-05
16114329.756081702	1.9584025400000004e-35	9.006600837397377e-12	2.575931545983391e-16	2.1117874492393085e-05
16060709.481841363	1.9716079300000005e-35	9.06733180266265e-12	2.5930191203131337e-16	2.1117871829085306e-05
16007267.861267537	1.9849020700000002e-35	9.128470924988581e-12	2.6102199977830635e-16	2.1117871892250338e-05
15954004.883814787	1.9982859300000007e-35	9.19002266535939e-12	2.627535707680731e-16	2.1117870996769386e-05
15900920.527303817	2.0117601000000007e-35	9.251989737157222e-12	2.644965096068859e-16	2.1117872063698097e-05
15848012.004174005	2.0253252200000002e-35	9.314375083711864e-12	2.662510913082887e-16	2.1062929412668855e-05
15795276.588802189	2.0389816000000004e-35	9.377180130698689e-12	2.680172553092681e-16	2.106292927117387e-05
15742719.768885827	2.0527302100000008e-35	9.440409339101907e-12	2.697951973523592e-16	2.1062880099045277e-05
15690336.077708453	2.0665714600000005e-35	9.504064594492163e-12	2.7158494217649743e-16	2.1062883750174968e-05
15638128.225792626	2.0805061500000007e-35	9.568149576031696e-12	2.7338650280841506e-16	2.1019080614165317e-05
15586093.513143076	2.0945347200000005e-35	9.632666307259732e-12	2.7520002226336925e-16	2.1019081420939882e-05
15534231.945500739	2.108657930000001e-35	9.697618283380405e-12	2.7702557125479316e-16	2.1019076362836522e-05
15482543.517066874	2.1228763700000005e-35	9.763008217775853e-12	2.788632163587085e-16	2.101908103037965e-05
15431025.599766908	2.1371906900000002e-35	9.828839099765402e-12	2.807130736860453e-16	2.1019077444195974e-05
15379680.810913907	2.151601460000001e-35	9.895113550752147e-12	2.825752433965627e-16	2.0975275161758235e-05
15328506.53453225	2.166109510000001e-35	9.961835387866904e-12	2.8444971909462677e-16	2.0974555146985706e-05
15277502.771560127	2.1807150800000009e-35	1.0029005714858341e-11	2.8633663984448613e-16	2.0960580554909464e-05
15226666.969419109	2.195419560000001e-35	1.0096630924270852e-11	2.882360308705639e-16	2.096040015965739e-05
15176001.682672467	2.2102227800000004e-35	1.0164710234282457e-11	2.9014809573838524e-16	2.0960396948930854e-05
15125504.37006006	2.2251261000000012e-35	1.0233249899468965e-11	2.920728080867416e-16	2.09165955415661e-05
15075175.038154908	2.2401299300000005e-35	1.0302251805401013e-11	2.9401022484164557e-16	2.0916595072123228e-05
15025013.682317832	2.2552348900000007e-35	1.0371718803429341e-11	2.9596058854414933e-16	2.091659610445374e-05
14975020.286883295	2.270441580000001e-35	1.0441653652925628e-11	2.979238725737218e-16	2.0916595122229465e-05
14925192.382784054	2.285750880000001e-35	1.051206040096833e-11	2.9990020048020267e-16	2.0916594581012495e-05
14875529.981532814	2.3011635200000004e-35	1.0582942404792988e-11	3.0188954524035733e-16	2.087279186275264e-05
